Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
1,54,Yes,8,5,28
1,87,Yes,7,5,64
3,84,No,6,6,61
1,92,Yes,4,6,67
4,81,Yes,7,0,65
7,93,No,6,2,84
8,62,No,5,1,53
2,90,Yes,6,9,68
9,43,Yes,9,1,38
2,86,Yes,8,3,69
9,87,No,8,9,89
7,89,No,5,5,78
5,66,No,6,8,51
7,65,Yes,9,6,57
5,69,No,6,0,57
1,69,No,8,8,44
5,45,Yes,6,0,28
3,42,Yes,6,8,21
4,41,Yes,8,7,23
5,76,Yes,6,5,62
1,49,No,6,8,24
3,82,Yes,5,1,60
9,76,No,7,2,71
5,70,No,7,4,53
4,43,Yes,6,9,25
5,86,Yes,6,3,74
4,44,Yes,9,9,28
2,46,No,9,2,24
8,68,Yes,5,1,58
3,96,No,5,5,74
1,96,No,9,5,69
7,89,Yes,4,0,79
1,94,Yes,6,3,71
8,83,No,7,8,79
5,85,No,8,9,68
8,56,Yes,5,7,51
1,76,No,5,8,50
4,83,Yes,6,3,66
5,74,Yes,7,1,59
7,67,Yes,9,6,61
1,86,No,5,4,57
5,96,No,6,2,81
6,89,No,7,7,79
2,98,No,7,9,77
7,84,No,7,0,76
6,99,Yes,5,6,85
3,99,Yes,6,8,83
3,63,No,7,9,46
7,41,Yes,6,8,34
3,64,Yes,6,0,43
7,68,Yes,7,5,60
6,68,Yes,7,2,58
3,60,Yes,8,2,38
7,65,Yes,7,0,53
2,76,Yes,4,7,51
3,65,Yes,4,0,44
5,85,No,6,1,72
6,81,No,7,2,68
7,81,No,4,5,71
1,59,Yes,7,4,31
7,88,Yes,6,8,82
1,64,No,8,7,42
4,94,Yes,8,2,73
1,91,Yes,9,5,67
5,70,No,8,0,56
7,40,No,8,2,30
5,56,Yes,8,9,45
9,45,Yes,7,4,43
7,47,Yes,5,7,38
3,91,Yes,9,8,72
8,91,No,4,5,84
2,81,No,9,2,61
2,66,No,6,9,43
8,69,Yes,4,8,63
3,90,Yes,6,2,68
8,84,Yes,5,0,76
6,58,Yes,4,5,48
4,62,No,6,7,45
6,44,No,5,1,34
5,85,Yes,5,8,70
1,56,Yes,8,5,31
2,90,Yes,7,6,64
3,52,Yes,5,7,37
8,51,No,7,8,43
7,66,No,9,8,61
1,46,No,8,1,18
8,78,Yes,6,1,74
5,80,No,6,6,67
3,67,Yes,9,0,50
2,80,Yes,4,3,59
9,70,No,8,8,69
5,97,Yes,9,9,86
2,70,No,6,0,43
7,82,No,7,4,70
7,93,No,8,7,87
9,41,Yes,8,6,38
6,73,Yes,8,1,61
5,92,No,5,9,78
2,55,Yes,6,3,29
3,63,No,6,1,42
7,90,Yes,7,2,85
6,82,Yes,9,8,72
6,64,No,9,9,52
2,78,Yes,8,8,60
4,56,No,9,3,40
9,46,No,4,5,40
7,72,No,9,6,62
2,84,No,4,9,61
4,97,No,9,5,80
7,87,No,5,8,78
4,98,No,4,3,79
9,69,Yes,6,8,67
4,64,Yes,8,9,50
2,96,Yes,9,8,75
2,97,No,8,1,74
4,90,Yes,9,6,72
9,54,No,5,3,53
8,63,Yes,4,3,60
8,75,Yes,8,3,72
2,90,No,4,4,65
6,54,No,7,2,41
3,73,No,6,7,51
2,64,No,6,3,42
3,44,No,7,5,23
7,79,Yes,7,5,68
4,52,No,4,2,34
9,91,No,7,0,87
3,66,No,4,6,45
7,73,No,7,5,65
6,50,No,5,8,36
7,75,Yes,4,5,66
8,78,No,6,4,72
1,57,No,7,6,31
9,60,Yes,6,1,55
4,45,Yes,4,8,28
2,65,Yes,8,1,43
4,92,Yes,9,5,77
4,99,No,6,4,80
7,57,No,6,9,52
5,91,Yes,6,3,78
2,69,No,9,0,45
7,63,No,7,5,56
9,58,Yes,4,3,53
6,54,No,9,7,45
8,53,No,8,4,49
5,56,Yes,9,8,43
7,79,No,9,0,73
3,61,No,6,1,42
9,83,No,9,8,85
1,62,No,9,5,35
3,54,No,9,7,35
6,54,No,7,1,40
1,99,Yes,9,8,77
7,64,Yes,7,8,53
1,49,Yes,8,3,24
7,66,No,6,7,57
6,59,Yes,7,4,47
1,80,No,5,4,58
6,95,Yes,8,9,88
1,98,Yes,8,2,75
3,48,No,7,5,30
4,96,No,8,2,82
1,50,Yes,4,1,19
5,55,Yes,8,0,44
3,90,Yes,7,1,68
8,57,No,5,2,50
8,69,No,8,2,65
4,57,Yes,9,4,43
4,79,No,5,6,63
